Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
Ko Kieft,TAM,25,TE,16,6,5,1,20.0%,2,2.0,1,1,20.0,2,0.4,0.1,0.1,0
Mason Kinsey,TEN,25,WR,6,0,1,1,100.0%,6,6.0,0,0,0.0,6,6.0,0.2,1.0,0
Zonovan Knight,DET,22,RB,2,0,1,1,100.0%,8,8.0,0,0,100.0,8,8.0,0.5,4.0,0
Kwamie Lassiter II,CIN,25,WR,1,0,1,1,100.0%,2,2.0,0,0,0.0,2,2.0,1.0,2.0,0
Nick Muse,MIN,25,TE,2,0,1,1,100.0%,22,22.0,0,1,100.0,22,22.0,0.5,11.0,0
Gunner Olszewski,2TM,27,,12,0,1,1,100.0%,0,0.0,0,0,0.0,0,0.0,0.1,0.0,4
Devine Ozigbo,DET,27,RB,3,0,1,1,100.0%,8,8.0,0,0,100.0,8,8.0,0.3,2.7,0
Rashaad Penny,PHI,27,RB,3,0,1,1,100.0%,5,5.0,0,0,100.0,5,5.0,0.3,1.7,0
Kevin Rader,TEN,28,TE,14,0,3,1,33.3%,6,6.0,0,0,33.3,6,2.0,0.1,0.4,0
Giovanni Ricci,CAR,27,TE,5,0,1,1,100.0%,2,2.0,0,0,0.0,2,2.0,0.2,0.4,0
Desmond Ridder,ATL,24,QB,15,13,1,1,100.0%,-6,-6.0,0,0,0.0,-6,-6.0,0.1,-0.4,12
James Robinson,GNB,25,RB,1,0,1,1,100.0%,-2,-2.0,0,0,0.0,-2,-2.0,1.0,-2.0,0
Malcolm Rodriguez,DET,24,LB,17,3,1,1,100.0%,6,6.0,0,1,100.0,6,6.0,0.1,0.4,0
Jeffery Simmons,TEN,26,DT,12,12,1,1,100.0%,2,2.0,1,1,100.0,2,2.0,0.1,0.2,0
Dan Skipper,DET,29,T,11,1,1,1,100.0%,4,4.0,0,0,100.0,4,4.0,0.1,0.4,0
Donovan Smith,KAN,30,T,12,12,1,1,100.0%,0,0.0,0,0,0.0,0,0.0,0.1,0.0,0
Geno Smith,SEA,33,QB,15,15,1,1,100.0%,-2,-2.0,0,0,0.0,-2,-2.0,0.1,-0.1,5
Mike Strachan,CAR,26,WR,4,1,3,1,33.3%,45,45.0,0,1,33.3,45,15.0,0.3,11.3,0
C.J. Stroud,HOU,22,QB,15,15,1,1,100.0%,0,0.0,0,0,0.0,0,0.0,0.1,0.0,8
Cody Thompson,SEA,27,WR,7,0,1,1,100.0%,10,10.0,0,0,0.0,10,10.0,0.1,1.4,0
Laquon Treadwell,BAL,28,WR,5,1,3,1,33.3%,16,16.0,0,1,33.3,16,5.3,0.2,3.2,0
Nick Vannett,LAC,30,TE,8,5,1,1,100.0%,3,3.0,0,1,100.0,3,3.0,0.1,0.4,0
Tylan Wallace,BAL,24,WR,11,0,2,1,50.0%,11,11.0,0,1,50.0,11,5.5,0.1,1.0,0
Trevon Wesco,TEN,28,TE,15,10,3,1,33.3%,21,21.0,0,1,33.3,21,7.0,0.1,1.4,0
Damiere Byrd,ATL,30,WR,1,0,2,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
Irvin Charles,NYJ,26,WR,12,0,1,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
Phillip Dorsett,DEN,30,WR,2,1,3,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
D'Wayne Eskridge,SEA,26,WR,4,0,1,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
Erik Ezukanma,MIA,23,WR,2,0,1,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
Jamycal Hasty,2TM,27,,5,0,2,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
Travis Homer,CHI,25,RB,16,0,1,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
Shedrick Jackson,CIN,24,WR,5,0,1,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
Sean McKeon,DAL,26,TE,9,0,2,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
Jordan Mims,NOR,24,RB,2,0,2,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
Albert Okwuegbunam,PHI,25,TE,4,0,1,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
James Proche,CLE,27,WR,10,1,5,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,1
Amari Rodgers,IND,24,WR,3,0,2,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
Ryan Tannehill,TEN,35,QB,10,8,1,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,4
Trent Taylor,CHI,29,WR,17,0,2,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,2
